qspiflash_dualflexpress_divthree-p076.aig 2.29
intersymbol_analog_estimation_convergence.aig 179.28
shift_register_top_w16_d128_e0.aig Timeout
zipcpu-busdelay-p24.aig 20.62
picorv32_mutBY_nomem-p8.aig Timeout
pc_sfifo_2.cil-1+token_ring.11.cil-2.aig Timeout
yosyshq_appnote_123_cv32e40x-p220.aig 18.76
cal119.aig 62.05
arbitrated_top_n4_w64_d32_e0.aig Timeout
cal87.aig 167.96
gen44.aig 11.11
vgasim_imgfifo-p020.aig 0.34
qspiflash_dualflexpress_divthree-p085.aig 1.37
zipcpu-pfcache-p15.aig 1.00
zipcpu-busdelay-p30.aig 16.51
qspiflash_dualflexpress_divfive-p022.aig 0.13
qspiflash_dualflexpress_divfive-p063.aig 325.27
cal122.aig 75.32
cal81.aig 8.14
qspiflash_dualflexpress_divthree-p163.aig 44.02
qspiflash_qflexpress_divfive-p059.aig 2.14
a16-p139.aig 0.38
shift_register_top_w16_d8_e0.aig 9.86
lamport_nonatomic.5.prop1-func-interl.aig 97.46
zipcpu-busdelay-p43.aig 0.15
a10-p30.aig 2.44
gen31.aig 9.58
cal40.aig 2.52
cal90.aig 402.21
qspiflash_dualflexpress_divfive-p097.aig 0.52
elevator.4.prop1-func-interl.aig 0.48
picorv32_mutBY_nomem-p7.aig Timeout
yosyshq_appnote_123_cv32e40x-p156.aig 394.95
gcd_4+newton_3_3.aig Timeout
ILA_Piccolo_BEQ_sanity.aig 225.16
Problem18_label15.aig Timeout
cambridge.7.prop2-back-serstep.aig Timeout
yosyshq_appnote_123_cv32e40x-p568.aig Timeout
dspfilters_fastfir_second-p42.aig Timeout
mul3.aig Timeout
qspiflash_dualflexpress_divthree-p007.aig 27.19
cal5.aig 0.74
yosyshq_appnote_123_cv32e40x-p352.aig 18.53
arbitrated_top_n2_w32_d32_e0.aig 2457.93
pc_sfifo_3.cil+token_ring.04.cil-1.aig Timeout
phases_2-1.aig 0.96
ILA_Piccolo_LW_sanity.aig 99.29
yosyshq_appnote_123_cv32e40x-p365.aig Timeout
arbitrated_top_n3_w32_d16_e0.aig 189.33
shift_register_top_w32_d8_e0.aig 54.60
zipcpu-pfcache-p01.aig 2.20
Problem04_label27.aig 100.64
gen112.aig 49.01
arbitrated_top_n4_w16_d16_e0.aig 107.32
shift_register_top_w8_d128_e0.aig Timeout
yosyshq_appnote_123_cv32e40x-p340.aig Timeout
circular_pointer_top_w16_d64_e0.aig Timeout
arbitrated_top_n4_w8_d64_e0.aig Timeout
yosyshq_appnote_123_cv32e40x-p683.aig 18.42
yosyshq_appnote_123_cv32e40x-p465.aig Timeout
yosyshq_appnote_123_cv32e40x-p266.aig Timeout
yosyshq_appnote_123_cv32e40x-p698.aig Timeout
arbitrated_top_n2_w128_d16_e0.aig 928.82
arbitrated_top_n5_w64_d64_e0.aig Timeout
a07-p14.aig 29.20
stack-p1.aig 0.40
arbitrated_top_n3_w128_d128_e0.aig Timeout
gcd_2+newton_3_7.aig 6.60
brp2.2.prop1-func-interl.aig 82.52
dspfilters_fastfir_second-p22.aig Timeout
dspfilters_fastfir_second-p21.aig 4.69
arbitrated_top_n2_w16_d32_e0.aig 1084.34
analog_estimation_convergence_safe.aig 10.39
cal209.aig Timeout
qspiflash_dualflexpress_divthree-p112.aig 14.45
Problem19_label36.aig Failed
qspiflash_dualflexpress_divthree-p161.aig 221.08
xepic_a17-p02.aig Timeout
shift_register_top_w64_d32_e0.aig 2510.66
qspiflash_dualflexpress_divfive-p127.aig 619.28
Problem101_label01.aig Timeout
loop3.aig Timeout
a11.aig Timeout
rocket_1761.aig 677.00
qspiflash_dualflexpress_divfive-p120.aig 6.03
yosyshq_appnote_123_cv32e40x-p753.aig Timeout
yosyshq_appnote_123_veer_axi-p62.aig Timeout
qspiflash_dualflexpress_divthree-p153.aig Timeout
qspiflash_dualflexpress_divthree-p127.aig 580.30
dspfilters_fastfir_second-p16.aig 730.46
arbitrated_top_n4_w8_d32_e0.aig 1215.30
ILA_Flute_SLTI_problem.aig Timeout
yosyshq_appnote_123_cv32e40x-p334.aig 18.64
qspiflash_dualflexpress_divthree-p101.aig 0.86
qspiflash_dualflexpress_divthree-p078.aig 0.79
cal110.aig 2730.86
cal100.aig 89.38
cal136.aig 117.40
yosyshq_appnote_123_cv32e40x-p574.aig 462.98
diffeq.aig 2694.08
zipcpu-pfcache-p05.aig 7.24
zipversa_composecrc_prf-p11.aig 0.12
qspiflash_qflexpress_divfive-p080.aig 3.33
picorv32_mutCX_nomem-p1.aig Timeout
ILA_Ridecore_ANDI_sanity.aig Timeout
arbitrated_top_n2_w16_d16_e0.aig 60.99
picorv32-check-p22.aig 8.86
h_b05.aig 2.02
cal156.aig Timeout
picorv32_mutAY_nomem-p1.aig Timeout
zipversa_composecrc_prf-p07.aig 0.12
yosyshq_appnote_123_cv32e40x-p246.aig Timeout
qspiflash_dualflexpress_divfive-p139.aig 0.55
qspiflash_dualflexpress_divfive-p037.aig 0.45
s3_srvr_1b.cil.aig 0.11
mul9.aig Timeout
qspiflash_dualflexpress_divthree-p137.aig 10.00
yosyshq_appnote_123_cv32e40x-p429.aig Timeout
dspfilters_fastfir_second-p43.aig Timeout
zipcpu-pfcache-p20.aig 0.71
qspiflash_qflexpress_divfive-p034.aig 0.43
qspiflash_dualflexpress_divfive-p098.aig 0.41
dspfilters_fastfir_second-p32.aig Timeout
yosyshq_appnote_123_cv32e40x-p545.aig Timeout
picorv32_mutCY_nomem-p5.aig Timeout
qspiflash_dualflexpress_divfive-p128.aig Timeout
h_TreeArb.aig 0.81
a16-p128.aig 1.15
qspiflash_dualflexpress_divthree-p012.aig 12.36
