Problem04_label27.btor 31.30
ILA_Ridecore_ANDI_sanity.btor Timeout
gen112.btor 0.48
shift_register_top_w32_d8_e0.btor 64.45
zipcpu-pfcache-p01.btor 10.98
AllInterval-019.btor Timeout
qspiflash_qflexpress_divfive-p100.btor Timeout
cal156.btor Timeout
picorv32_mutAY_nomem-p1.btor Timeout
zipcpu-zipmmu-p02.btor 328.60
qspiflash_dualflexpress_divthree-p076.btor 1293.65
qspiflash_dualflexpress_divfive-p040.btor Timeout
qspiflash_dualflexpress_divfive-p063.btor Timeout
yosyshq_appnote_123_cv32e40x-p683.btor 59.78
qspiflash_qflexpress_divfive-p137.btor Timeout
yosyshq_appnote_123_cv32e40x-p246.btor Timeout
zipversa_composecrc_prf-p17.btor Timeout
zipcpu-zipmmu-p38.btor 141.51
frogs.2.prop1-back-serstep.btor Timeout
stack-p1.btor 0.49
yosyshq_appnote_123_cv32e40x-p429.btor Timeout
dspfilters_fastfir_second-p43.btor Timeout
dspfilters_fastfir_second-p32.btor Timeout
yosyshq_appnote_123_cv32e40x-p545.btor Timeout
intersymbol_analog_estimation_convergence.btor Timeout
qspiflash_dualflexpress_divthree-p085.btor 2648.22
ILA_Piccolo_LW_sanity.btor 2288.87
picorv32_mutCY_nomem-p5.btor Timeout
arbitrated_top_n3_w8_d16_e0.btor Timeout
yosyshq_appnote_123_cv32e40x-p142.btor Timeout
qspiflash_dualflexpress_divfive-p126.btor Timeout
yosyshq_appnote_123_cv32e40x-p019.btor Timeout
qspiflash_dualflexpress_divthree-p119.btor 3169.31
vis_arrays_two_p1.btor Timeout
telephony.6.prop1-func-interl.btor Timeout
qspiflash_dualflexpress_divfive-p059.btor Timeout
shift_register_top_w128_d32_e0.btor Timeout
cal203.btor Timeout
byte_add_1-1.btor Timeout
peg_solitaire.3.prop1-back-serstep.btor Timeout
yosyshq_appnote_123_cv32e40x-p156.btor Timeout
hard-ll_valuebound20.btor Timeout
circular_pointer_top_w8_d16_e0.btor Timeout
arbitrated_top_n5_w128_d16_e0.btor Timeout
a03.btor Timeout
vgasim_imgfifo-p107.btor Timeout
yosyshq_appnote_123_cv32e40x-p104.btor Timeout
zipcpu-busdelay-p24.btor Timeout
ILA_Flute_XORI_sanity.btor Timeout
arbitrated_top_n2_w128_d16_e0.btor Timeout
qspiflash_dualflexpress_divthree-p112.btor 824.54
lamport_nonatomic.5.prop1-func-interl.btor Timeout
cal136.btor 28.75
pals_lcr-var-start-time.6.1.ufo.UNBOUNDED.pals.btor Timeout
yosyshq_appnote_123_cv32e40x-p334.btor 60.56
zipversa_composecrc_prf-p11.btor 0.70
zipcpu-busdelay-p30.btor Timeout
egcd-ll_unwindbound10.btor Timeout
qspiflash_dualflexpress_divthree-p163.btor Timeout
zipcpu-pfcache-p05.btor 42.34
picorv32-check-p22.btor 0.69
h_b05.btor 8.08
arbitrated_top_n2_w16_d32_e0.btor Timeout
picorv32_mutBY_nomem-p6.btor Timeout
zipversa_composecrc_prf-p07.btor 1.37
cal100.btor 91.66
qspiflash_qflexpress_divfive-p059.btor Timeout
pals_lcr.5.1.ufo.UNBOUNDED.pals+Problem12_label04.btor Timeout
s3_srvr_1b.cil.btor 0.41
krebs.3.prop1-func-interl.btor Timeout
arbitrated_top_n4_w16_d64_e0.btor Timeout
picorv32_mutBX_nomem-p0.btor Timeout
circular_pointer_top_w16_d128_e0.btor Timeout
arbitrated_top_n3_w32_d16_e0.btor Timeout
diffeq.btor Timeout
qspiflash_qflexpress_divfive-p034.btor 63.65
zipcpu-pfcache-p20.btor 74.21
picorv32_mutBY_nomem-p4.btor Timeout
h_TreeArb.btor 5.96
qspiflash_dualflexpress_divthree-p007.btor Timeout
dspfilters_fastfir_second-p26.btor Timeout
dspfilters_fastfir_second-p21.btor 1628.75
